,n_estimators,learning_rate,max_depth,reg_lambda,auc (mean),auc (std),auc (se)
130,810,0.16910106336538333,9,0.00015265373811075474,0.7924187888825414,0.015334638249857849,0.006857858707410111
131,761,0.8767009301816353,7,13.705866940301615,0.7876438457486676,0.0188763996054207,0.008441782537634179
132,144,0.9091824637608487,5,23.135412448490325,0.8025180622015838,0.016297147100951634,0.007288305751408296
133,747,0.19753288946715686,4,0.0002413960871724551,0.7969215886220578,0.012873743163684318,0.005757312967774267
134,821,0.4415297427026398,9,0.012322765922895907,0.781413100304509,0.0177130707261281,0.007921526046776798
135,595,0.7192321416923365,6,1.0829913599163532,0.7806091226893223,0.0168384640154976,0.007530390035067341
136,297,0.8453451587639734,8,8.268297820728913,0.7892656309781497,0.01624262096238224,0.007263920920929948
137,200,0.16827530536724433,1,0.00015063543209934926,0.8446307550747122,0.012466455964509019,0.005575168595029974
138,280,0.664968962904761,5,0.45162995596194905,0.7842986401920345,0.014551411727150451,0.006507589158099206
139,269,0.8078354592960695,5,4.516980493500477,0.789539520319813,0.016671311468560455,0.007455637143554605
140,129,0.5497141208007275,8,0.07046911958302705,0.790170609843343,0.020687708497758524,0.009251824499937623
141,382,0.16471665877901287,3,0.000142238319122136,0.8176443223628006,0.009463206324808515,0.004232074525475559
142,932,0.03552880483036336,7,1.7729710073041157e-05,0.8118701421391096,0.013044582300018842,0.005833714552186537
143,864,0.28153381784849374,7,0.0009348387906961705,0.7903932246762299,0.015015718789064932,0.006715233588674003
144,290,0.8078708464535516,9,4.519557594761882,0.7889952106012086,0.01678415155059125,0.007506100762356107
145,826,0.044766260845139016,4,2.057613619662719e-05,0.8206676954543786,0.00970564608650917,0.004340496882997862
146,838,0.008216505039312039,7,1.1416041405447275e-05,0.828323436902185,0.013260550526649227,0.005930298479331662
147,112,0.36161664771205726,5,0.0033987289748850097,0.8070085027306224,0.012543394817783438,0.00560957669623647
148,746,0.06362228569855188,10,2.7884059442944513e-05,0.803535690700685,0.014153740868662668,0.006329745343649329
149,588,0.1494863033242304,9,0.00011127667064868269,0.7981490206971735,0.015407636448812888,0.006890504494429815
150,543,0.023190368099362146,6,1.453224050428743e-05,0.8256360079848427,0.011929169707559178,0.0053348868762467215
151,206,0.5247198367686319,2,0.04710194677656427,0.8190234471223645,0.0111668378869164,0.004993961721773036
152,722,0.6966959021894129,0,0.7531323719644053,0.7824768195194942,0.01933746886366523,0.008647978978388213
153,984,0.42705349301372764,5,0.009758306416641108,0.779773524756419,0.022445490552422596,0.010037928532709246
154,597,0.13457045864468764,3,8.749700963875212e-05,0.8137796270551731,0.00887774903035442,0.003970250063811065
155,449,0.33135721096240567,0,0.0020868944147537168,0.785329663022343,0.017774358776241683,0.007948934896029275
156,586,0.5903458543063351,5,0.13565036920767815,0.7813266709993238,0.017907455762881674,0.008008457677974755
157,334,0.9406613933963881,7,38.426404825690234,0.7967645581868877,0.017078301141697297,0.007637648458609484
158,629,0.9925577191726402,1,88.6959999362598,0.8414530605506318,0.01310520142990573,0.005860824251219331
159,105,0.2416029166538498,8,0.0004911570888438751,0.8085213955523877,0.012221394074870632,0.005465573586244777
160,947,0.010579906938345762,4,1.185930800620726e-05,0.838848280782394,0.013519409325324968,0.006046063653414239
161,149,0.8306403259938047,9,6.523524262360152,0.7910594935639075,0.01499166894524757,0.006704478171549228
162,538,0.9266129377700566,10,30.640127234415885,0.7912252357192647,0.01859751356705535,0.00831706090968207
163,432,0.45860347976796934,0,0.016226481478020405,0.7879964386605799,0.019582400449517392,0.008757515713548665
164,717,0.7714423445636822,2,2.512444123931732,0.7974657738641188,0.012062927869520589,0.005394705344784949
165,282,0.8661990340843911,0,11.571595358024581,0.7911862418042024,0.017581109709025055,0.007862511285852313
166,787,0.6096147983345592,7,0.18505617799290408,0.7798709096352706,0.01947201323156627,0.008708149048911507
167,521,0.8726271831441871,6,12.834834766495167,0.7882266956980907,0.014698519892726051,0.006573377929753673
168,699,0.023903026142330863,2,1.4700130256083473e-05,0.842467470675947,0.0126160385133053,0.005642063944501207
169,761,0.27159522025956384,9,0.0007964647175285662,0.7867963914250075,0.017130348696657378,0.007660924832800163
170,360,0.27721958269429525,9,0.0008720413505842461,0.7947171794663495,0.016749426443101813,0.007490571222181633
171,575,0.12063242830615817,5,6.989192434637395e-05,0.8047771706088606,0.012590610569992583,0.005630692222546157
172,688,0.9107134542882382,1,23.71341927084747,0.8402777022547289,0.012793065721910657,0.00572123291896293
173,333,0.030439266665623133,0,1.6333334888480202e-05,0.8054167409158328,0.014905743942937274,0.006666051342322698
174,431,0.6725610295221127,0,0.5104194399371007,0.7808424834511711,0.01769337621608763,0.00791271839412999
175,874,0.0713396872572073,9,3.1577504870803624e-05,0.8023100455191065,0.013842272339526507,0.0061904523828492635
176,988,0.36078049378522115,1,0.003353230876610664,0.8412197047023309,0.012684548012780492,0.0056727023240874105
177,325,0.4180995426775659,1,0.008446889224787433,0.8431069034035819,0.013273005235042162,0.005935868394252969
178,569,0.18140428905736694,5,0.00018613584852068365,0.7985955442638588,0.012762013787757128,0.005707346071842902
179,185,0.5210141032821763,3,0.04437094956461006,0.8031218373130887,0.009707550297394259,0.0043413484719943725
180,770,0.5349917609279157,2,0.05558304391139541,0.7946636692933401,0.011527908928447125,0.0051554376004869056
181,975,0.31704388193619615,0,0.0016569414926383894,0.7871978675857839,0.01675716111591402,0.007494030273019997
182,576,0.7370880595522907,10,1.4441636745489996,0.7799617103601172,0.017909905273782493,0.008009553132551927
183,924,0.1602024106191695,10,0.00013225645397460417,0.7913078652141782,0.016315323358679426,0.007296434420979475
184,919,0.19250821895985537,4,0.00022261659343238868,0.7952809763153896,0.013523987398610205,0.006048111030028593
185,347,0.35451101804560603,10,0.003030938514102977,0.789656089326988,0.017989711374994676,0.00804524350601786
186,283,0.3783761334314193,8,0.0044527973858055426,0.789442795494211,0.013035507202973468,0.005829656045407364
187,733,0.20628585650065434,7,0.000277971963951987,0.7947640481606297,0.013973347589948027,0.006249071016871328
188,176,0.9187092051422681,1,26.975185259124093,0.8438269199524108,0.013590170983015624,0.006077709228773615
189,977,0.8280935695469476,4,6.261162663943642,0.7801704280420757,0.01780704333441502,0.0079635518748073
190,811,0.1068767442566414,9,5.599344777017414e-05,0.7962869400520967,0.01477263062126511,0.006606521255128747
191,185,0.369485915660384,3,0.003858348122367652,0.8134011888820172,0.010214505229277629,0.00456806560983837
192,798,0.23267109563197375,6,0.00042530223935664834,0.7906345879695387,0.012940522139918923,0.005787177433839951
193,909,0.4510786029505425,10,0.014373092503492786,0.7839680730769031,0.016057444494125897,0.007181107486759045
194,330,0.2763171862107934,7,0.0008594493816853431,0.7949745805795629,0.01436793953241943,0.006425537898219277
195,911,0.5018068911184235,1,0.03255728923999776,0.840153143818888,0.012449328868871864,0.00556750912500961
196,415,0.9226031530779568,0,28.722488984080012,0.7900197901325479,0.01787872852744557,0.0079956104677266
197,950,0.3825111389298338,2,0.004759682378637504,0.7987046282999387,0.01140229941962799,0.005099263320418917
198,675,0.6501283286286327,7,0.35554804942830803,0.7781632863641843,0.01941017280699257,0.008680493170290658
199,500,0.5956211130203741,0,0.14768887799836003,0.7843706253046399,0.020722525490654953,0.009267395132515331
200,135,0.7519535611422076,0,1.835164197809821,0.7865224513100173,0.020085664977661805,0.008982582452667719
201,689,0.06166533016986864,9,2.70182559284721e-05,0.8052712376637194,0.015595096026949948,0.006974338966379395
202,388,0.7448236736818096,8,1.6359337635467803,0.7849171526711356,0.014150387881343554,0.006328245842134683
203,729,0.9462759271724278,2,42.06602641498897,0.8195022019245384,0.009374915902655767,0.004192589848336419
204,827,0.6035595516954865,0,0.1678482671025901,0.7825296794663494,0.015382761790334517,0.006879380208974869
205,261,0.28757994211990023,5,0.0010305275219816541,0.7963934559405448,0.013456714921472058,0.006018025863649453
206,145,0.6723692184292864,5,0.5088438489450536,0.7914719973637179,0.018586175798255944,0.008311990505332342
207,728,0.7120487867813948,0,0.9645872286535909,0.7812657102500538,0.01970915760590921,0.008814203237214
208,575,0.656450286538602,9,0.39368784453889466,0.7819102448781179,0.015671461124311805,0.007008490476141296
209,498,0.14693031569354353,10,0.00010678548140325666,0.7980585262501375,0.016487367347731315,0.007373374831907527
210,145,0.9734755682697008,0,65.2122189297292,0.8047399373817473,0.014488565950424834,0.006479483672327755
211,973,0.9553834518208789,8,48.717406772589506,0.7884930525710303,0.01791213255157416,0.008010549201461315
212,142,0.4246255327956413,4,0.009383799710980065,0.8047072442727687,0.010704314041772883,0.004787114769981938
213,964,0.5936373294088721,5,0.14304125303279278,0.7788398212909919,0.015374000520022338,0.006875462049777413
