,C,gamma,auc (mean),auc (std),auc (se)
77,0.11428679251349168,0.00036708791558285963,0.830362346304226,0.019529539427004517,0.008733875545608878
78,0.08768800961372596,0.00026360296929804524,0.8302535488917655,0.019478926461611475,0.008711240739376541
79,0.06286400885538354,0.00017389120753901163,0.8303222124460821,0.01975581471821819,0.008835068932165345
80,0.009685404441990337,1.678503431063868e-05,0.8311644862525485,0.01942812881820792,0.008688523342627113
81,0.3073672696822877,0.0012642910300247842,0.830451941572021,0.01971589722923737,0.008817217288394904
82,0.48714161889259766,0.0022482472783551424,0.83042195746571,0.01970350231464731,0.008811674114075166
83,45.19237638694211,0.6473013399058923,0.7278605577728394,0.023120478656281217,0.010339792389555558
84,60.87652131140142,0.9393713637479938,0.7187031624248555,0.024597492618210544,0.011000333114073611
85,1.3639611572602626,0.008142870647150776,0.8297994027746476,0.020711509987418563,0.009262468849706744
86,0.57938969219997,0.0027924698201459252,0.83042769485165,0.019614267544247478,0.008771767111561045
87,47.31651884114845,0.6855529660860578,0.7261716829621748,0.02326767221690603,0.010405619351037022
88,214.64057838204835,4.538525918468803,0.6677462522733348,0.02527006424653829,0.011301116290209324
89,11.30097542968116,0.11446427078899392,0.7785024046902762,0.016061567112043408,0.007182951177540808
90,64.42644030616361,1.008335837785553,0.7175045057233005,0.02535713280999597,0.011340054535528249
91,440.2646114576588,11.140822508643193,0.6526958671167039,0.030169093983470847,0.013492028993324145
92,0.0017158226880264926,1.92914796952792e-06,0.8313605204298765,0.019382286615639892,0.008668022086391027
93,182.71287620184046,3.7109617266752606,0.673902578760895,0.026568657256369095,0.01188186473922687
94,0.04516225861787263,0.00011501238229274571,0.8306858690297121,0.019445787293816862,0.008696420452995235
95,0.714640701575062,0.003629816886245591,0.8303664802357454,0.019709162888674015,0.008814205599738244
96,61.189794064051696,0.9454177938848807,0.7186139520516355,0.02470302777236286,0.011047529869813711
97,20.32022744897059,0.2383338554649814,0.7549194653142836,0.019367581695078972,0.008661445845995437
98,0.0075095982254409065,1.2212256300004907e-05,0.8310839630317769,0.01948717000703768,0.008714927364966261
99,9.031497251415525,0.08649175812481573,0.783945790137789,0.017838794061513768,0.007977751231632869
