,ccp_alpha,criterion,min_samples_split,auc (mean),auc (std),auc (se)
501,0.24996134556263946,gini,4,0.5,0.0,0.0
502,0.2243317809714705,entropy,23,0.5,0.0,0.0
503,208.27921443633795,entropy,22,0.5,0.0,0.0
504,0.00012923283711231085,gini,12,0.7182510652571554,0.03193224143863593,0.014280532506145124
505,120.83593665284843,gini,35,0.5,0.0,0.0
506,0.000800781083628582,entropy,39,0.7886173817079754,0.014227104748580398,0.006362554668167164
507,0.045100247748192344,gini,20,0.7247867913353844,0.013577451431626314,0.006072020872463655
508,0.2625386169266615,gini,19,0.5,0.0,0.0
509,0.21672593158008693,gini,19,0.5,0.0,0.0
510,0.000188738242728365,entropy,36,0.7716198279996227,0.013512526018968725,0.006042985345229736
511,0.01658631433950175,gini,10,0.7619661692409289,0.035371022223200634,0.01581840202494647
512,0.03144581337020443,entropy,15,0.7322156169581602,0.021887334535446168,0.009788313573507281
513,493.46378781121524,gini,7,0.5,0.0,0.0
514,262.36000158284156,gini,24,0.5,0.0,0.0
515,1.231517079709402,entropy,20,0.5,0.0,0.0
516,341.64410743974287,entropy,3,0.5,0.0,0.0
517,111.16979976116114,entropy,34,0.5,0.0,0.0
518,0.042663738408202874,entropy,9,0.7247867913353844,0.013577451431626314,0.006072020872463655
519,0.0006588217941175524,gini,6,0.808755381972652,0.016625112739640246,0.00743497644388667
520,1.7781272118400702,gini,31,0.5,0.0,0.0
521,0.018241732143870037,gini,14,0.7500925499478509,0.02709602116474946,0.012117709048830564
522,0.00011700314090712783,gini,38,0.7849105603278843,0.022523408416969832,0.010072774461067094
523,738.3384149309425,entropy,2,0.5,0.0,0.0
524,609.4424035921568,entropy,39,0.5,0.0,0.0
525,0.5723281674157129,gini,4,0.5,0.0,0.0
526,2.1247112407814743,entropy,23,0.5,0.0,0.0
527,4.8091421285522244,gini,24,0.5,0.0,0.0
528,306.0349051948727,entropy,11,0.5,0.0,0.0
529,0.18730990612533263,gini,32,0.5,0.0,0.0
530,1.20267209725208,entropy,24,0.5,0.0,0.0
531,0.0038528100272203786,gini,25,0.7957942176714763,0.01382353105122571,0.0061820710239239626
532,0.004974938284093496,entropy,12,0.8109029348293231,0.016097008855420727,0.007198801207027365
533,0.4516326833847334,entropy,10,0.5,0.0,0.0
534,0.004021931410036029,entropy,13,0.8146554259980399,0.016796402179430188,0.007511579410126304
535,0.0001628431512487723,gini,5,0.6650466639631235,0.045593632499073125,0.020390092321814223
536,0.037918898785587844,entropy,9,0.7247867913353844,0.013577451431626314,0.006072020872463655
537,17.76707799969489,gini,18,0.5,0.0,0.0
538,0.008699439648193162,entropy,8,0.8066652390080662,0.01321560333569948,0.005910197484459402
539,109.37739340880702,entropy,9,0.5,0.0,0.0
540,8.270212964705516,gini,15,0.5,0.0,0.0
541,3.743120118348181,entropy,18,0.5,0.0,0.0
542,176.7591833186739,entropy,4,0.5,0.0,0.0
543,0.0003286073062092028,gini,6,0.7059414554059508,0.03398117328849909,0.015196842685656806
544,0.0017838477976667648,gini,4,0.8166114274707938,0.010887986580075318,0.004869255626230773
545,231.68160716858455,gini,31,0.5,0.0,0.0
546,223.49182285360067,gini,39,0.5,0.0,0.0
547,0.0003530781084658057,entropy,15,0.726580550736639,0.013830203427220975,0.006185055001183333
548,26.279728121204453,entropy,26,0.5,0.0,0.0
549,0.00012824100358758706,gini,2,0.6579000643347188,0.01566112709152412,0.0070038689561823
