,n_neighbors,weights,p,auc (mean),auc (std),auc (se)
153,77,distance,1,0.8236796969585795,0.014875907314040215,0.006652707996236046
154,76,distance,3,0.8240684339278508,0.013464220162432964,0.0060213823094446735
155,7,distance,2,0.7772472143459871,0.015361623949161875,0.006869927079022945
156,121,distance,2,0.8248624337653763,0.013646400978098053,0.006102856047049373
157,86,distance,4,0.8232183115477545,0.013248613647332218,0.005924960144613253
158,159,uniform,2,0.8283798870146069,0.015716075705375896,0.007028442723350692
159,108,uniform,1,0.8316016904569731,0.017012823480633866,0.00760836595838038
160,57,distance,1,0.822181263070037,0.014463176620145488,0.006468129218646193
161,52,uniform,2,0.8298893993155101,0.014103487268639449,0.006307271250496129
162,184,distance,2,0.8248667052762331,0.013199227089591013,0.005902873804556442
163,122,distance,2,0.8249250421909968,0.013572583216333707,0.00606984374039898
164,141,uniform,4,0.8282637176426502,0.015164564256218737,0.0067817993052137265
165,77,distance,3,0.8238353253947872,0.01367958358363733,0.00611769575938065
166,110,uniform,1,0.8314135359724109,0.01715497660480063,0.00767193876815055
167,165,uniform,3,0.8272419191793459,0.01461351178532958,0.006535361148398251
168,200,uniform,3,0.8263880952599332,0.015594023838973969,0.006973859469339605
169,86,distance,5,0.8233158798657225,0.013087738803965274,0.005853014727485629
170,187,distance,3,0.8240852955859307,0.012375101072481935,0.005534313445300031
171,42,distance,4,0.819743044381784,0.015236449423102849,0.006813947329159084
172,144,distance,5,0.8247484902305569,0.012938116718547938,0.00578610169669994
173,44,distance,1,0.8200766316909419,0.01524023752894363,0.006815641421592275
174,60,uniform,2,0.8303785626496994,0.013454577690257938,0.006017070064793771
175,83,uniform,5,0.8283472692466942,0.015521663763414139,0.006941499059777845
176,64,distance,2,0.8235938359870859,0.013321723252628571,0.005957655754063418
177,157,uniform,5,0.8272941207108001,0.01496493150194819,0.0066925208233968355
178,145,uniform,4,0.8277340502963852,0.014875683792836452,0.006652608034514841
179,134,uniform,3,0.8282952478786576,0.015588613548345594,0.00697143991381499
180,36,distance,5,0.8187912426820894,0.015411973008538048,0.006892443862896604
181,78,uniform,2,0.8299151626842909,0.015285026075011728,0.006835671468316604
182,33,distance,1,0.8153658660422749,0.01555105876113201,0.006954644902396967
183,118,distance,3,0.8242550996074403,0.012823438491066406,0.005734816034262362
184,162,distance,5,0.8241058833510657,0.01238607366000458,0.005539220535617971
185,46,uniform,1,0.8303160492193354,0.015784547780659696,0.007059064366329704
186,169,distance,1,0.8260575461611432,0.015038135218330057,0.006725258520603929
187,117,distance,5,0.8236872048595643,0.012664724298661162,0.005663836889619941
188,143,uniform,2,0.8290540618006383,0.015693164931835816,0.0070181967139401474
189,46,uniform,1,0.8303160492193354,0.015784547780659696,0.007059064366329704
190,106,uniform,3,0.8291968904449185,0.014854722710743971,0.0066432339536266925
191,43,distance,1,0.8197528894936557,0.015001176500341794,0.006708730079447329
192,97,uniform,4,0.8279452198386783,0.015293981062383534,0.0068396762604168064
193,35,uniform,1,0.8263333829055709,0.01582790928829039,0.007078456222063525
194,96,distance,2,0.823944171942725,0.013299748494364579,0.0059478283434099355
195,113,uniform,4,0.828490243659558,0.014424682772416542,0.006450914246598703
196,184,distance,3,0.8241405566197937,0.01254130740647641,0.005608643177520568
197,147,uniform,1,0.8307153175593163,0.01781520769087863,0.007967203086016336
198,10,distance,1,0.7936053762729364,0.013764030945227107,0.006155461767587698
199,14,uniform,5,0.8185342543068884,0.013019267254540173,0.005822393319677777
200,86,uniform,5,0.828374619691403,0.01518014530743401,0.006788767363149377
201,172,distance,4,0.8240553425987557,0.011988748790746252,0.005361531452255404
202,2,uniform,2,0.6996416991834339,0.010083150070866317,0.004509321797157781
203,32,distance,3,0.81679405585197,0.015388479200712265,0.00688193711262685
